timestamp,activeAccountCount,marketPrice_scaled
2025-05-04,32563,33810.0
2025-05-05,33972,32550.000000000004
2025-05-06,33976,32690.0
2025-05-07,33223,32375.0
2025-05-08,33851,33460.0
2025-05-09,31443,38955.0
2025-05-10,41646,41160.0
2025-05-11,37627,47040.0
2025-05-12,40501,46025.0
2025-05-13,38569,48300.0
2025-05-14,40236,48125.0
2025-05-15,36860,46410.0
2025-05-16,40039,42735.0
2025-05-17,36822,42000.0
2025-05-18,40152,40565.0
2025-05-19,36698,42595.0
2025-05-20,40651,41195.0
2025-05-21,36561,42455.0
2025-05-22,41810,43575.0
2025-05-23,38169,49175.0
2025-05-24,36572,45255.0
2025-05-25,39797,46550.0
2025-05-26,30264,45920.0
2025-05-27,37596,47390.0
2025-05-28,40803,51415.0
2025-05-29,53983,52535.0
2025-05-30,47923,48685.0
2025-05-31,47547,42910.0
2025-06-01,47504,42490.0
2025-06-02,47904,42455.0
2025-06-03,48702,43470.0
2025-06-04,47710,43750.0
2025-06-05,28671,42315.0
2025-06-06,47485,39585.0
2025-06-07,47785,41790.0
2025-06-08,47969,45675.0
2025-06-09,3988,46445.0
2025-06-10,4154,48230.0
2025-06-11,3729,49070.0
2025-06-12,38488,46620.0
2025-06-13,43335,43260.0
2025-06-14,48177,41125.0
2025-06-15,51276,40215.0
2025-06-16,55446,40040.0
2025-06-17,58388,41090.0
2025-06-18,58293,38605.0
2025-06-19,58238,39935.0
2025-06-20,58273,39865.0
2025-06-21,3591,38290.0
2025-06-22,58607,34930.0
2025-06-23,58536,34090.0
2025-06-24,41806,38185.0
2025-06-25,61943,40460.0
2025-06-26,62656,38815.0
2025-06-27,25815,37240.0
2025-06-28,48878,36890.0
2025-06-29,50542,38430.0
2025-06-30,75980,40180.0
2025-07-01,78566,37660.0
2025-07-02,44184,35560.0
2025-07-03,81345,40075.0
2025-07-04,83649,40355.0
2025-07-05,82942,37730.0
2025-07-06,81023,37030.0
2025-07-07,81891,37240.0
2025-07-08,83897,36750.0
2025-07-09,77935,36505.0
2025-07-10,83834,38465.0
2025-07-11,73041,42455.0
2025-07-12,86337,43330.0
2025-07-13,81270,42980.0
2025-07-14,85866,43400.0
2025-07-15,74644,43225.0
2025-07-16,72111,46865.0
2025-07-17,78301,47390.0
2025-07-18,86442,49315.0
2025-07-19,86325,50505.0
2025-07-20,79851,49560.0
2025-07-21,84463,52395.0
2025-07-22,82475,52990.0
2025-07-23,80235,53200.0
2025-07-24,82938,48335.0
2025-07-25,84346,47355.0
2025-07-26,87053,48895.0
2025-07-27,81453,52465.0
2025-07-28,80434,54075.0
2025-07-29,82670,50855.0
2025-07-30,80243,49315.0
2025-07-31,72741,48055.0
2025-08-01,95173,46305.0
2025-08-02,79918,44065.0
2025-08-03,84258,42665.0
2025-08-04,81365,45430.0
2025-08-05,80997,47740.0
2025-08-06,82147,45255.0
2025-08-07,80136,45290.0
2025-08-08,82068,49105.0
2025-08-09,81275,49420.0
2025-08-10,80951,50890.0
2025-08-11,83805,50400.0
2025-08-12,80474,47950.0
2025-08-13,84226,51590.0
2025-08-14,82655,56910.00000000001
2025-08-15,81271,53130.0
2025-08-16,86186,50190.0
2025-08-17,81237,51135.0
2025-08-18,80589,54145.0
2025-08-19,83414,49700.0
2025-08-20,81383,46200.0
2025-08-21,81836,48860.0
2025-08-22,84482,46445.0
2025-08-23,84383,52150.0
2025-08-24,79837,51415.0
2025-08-25,82416,50190.0
2025-08-26,82201,44870.0
2025-08-27,81228,47250.0
2025-08-28,81050,46585.0
2025-08-29,83087,49140.0
2025-08-30,82045,45430.0
2025-08-31,80988,45150.0
2025-09-01,80774,44555.0
2025-09-02,79570,43470.0
2025-09-03,83052,45430.0
2025-09-04,81815,46305.0
2025-09-05,81851,43610.0
2025-09-06,81312,45535.0
2025-09-07,80766,45290.0
2025-09-08,80220,45640.0
2025-09-09,82187,47530.0
2025-09-10,82180,49070.0
2025-09-11,81844,48755.0
2025-09-12,81646,49735.0
2025-09-13,82374,50610.0
2025-09-14,83166,50890.0
2025-09-15,81526,49280.0
2025-09-16,81249,47285.0
2025-09-17,81011,48300.0
2025-09-18,82056,50435.0
2025-09-19,83156,51555.0
2025-09-20,81995,48440.0
2025-09-21,81685,48440.0
2025-09-22,80948,47600.0
2025-09-23,81414,43330.0
2025-09-24,83525,42595.0
2025-09-25,83956,43330.0
2025-09-26,85071,39725.0
2025-09-27,82769,41405.0
2025-09-28,83086,41440.0
2025-09-29,84618,42385.0
2025-09-30,83863,42315.0
2025-10-01,79897,42035.0
2025-10-02,62052,44170.0
2025-10-03,84440,45290.0
2025-10-04,85285,46865.0
2025-10-05,83775,43960.0
2025-10-06,83713,44450.0
2025-10-07,83647,45675.0
2025-10-08,85081,43435.0
2025-10-09,84389,44310.0
2025-10-10,83950,42385.0
2025-10-11,84251,30835.0
2025-10-12,84333,29715.0
2025-10-13,82965,33425.0
2025-10-14,83053,34720.0
2025-10-15,83712,33495.0
2025-10-16,83736,31675.000000000004
2025-10-17,85594,30065.0
2025-10-18,84789,29225.0
2025-10-19,84032,29540.0
2025-10-20,81772,29960.0
2025-10-21,83668,30590.0
2025-10-22,83627,29574.999999999996
2025-10-23,84621,28735.000000000004
2025-10-24,83220,29400.0
2025-10-25,82406,29680.0
2025-10-26,83281,29470.0
2025-10-27,83391,31604.999999999996
2025-10-28,82668,30205.000000000004
2025-10-29,84336,29365.000000000004
