timestamp,activeAccountCount,marketPrice_scaled
2025-05-04,6259,6511.2300000000005
2025-05-05,6081,6377.49
2025-05-06,6193,6465.4800000000005
2025-05-07,5570,6421.41
2025-05-08,8211,6504.42
2025-05-09,8357,7115.43
2025-05-10,7778,7596.21
2025-05-11,7437,8284.59
2025-05-12,7934,7905.96
2025-05-13,7781,7887.66
2025-05-14,6440,8064.0599999999995
2025-05-15,6415,7723.169999999999
2025-05-16,6046,7035.0599999999995
2025-05-17,5590,7029.51
2025-05-18,6574,6846.9
2025-05-19,6109,7171.7699999999995
2025-05-20,6656,7213.05
2025-05-21,7073,7277.49
2025-05-22,7877,7314.33
2025-05-23,6632,7526.31
2025-05-24,5901,6929.85
2025-05-25,5998,7001.55
2025-05-26,6023,6987.0599999999995
2025-05-27,6223,6944.88
2025-05-28,5934,7018.68
2025-05-29,5690,6958.320000000001
2025-05-30,5776,6753.15
2025-05-31,5809,6227.85
2025-06-01,5950,6365.580000000001
2025-06-02,6481,6473.099999999999
2025-06-03,6397,6545.76
2025-06-04,5577,6413.07
2025-06-05,5566,6187.26
2025-06-06,5737,5798.01
2025-06-07,5348,5853.39
2025-06-08,5203,5996.58
2025-06-09,5981,5803.95
2025-06-10,6530,6171.75
2025-06-11,5454,6329.52
2025-06-12,4790,5887.86
2025-06-13,4794,5490.0599999999995
2025-06-14,4192,5317.41
2025-06-15,4268,5267.7
2025-06-16,5042,5269.2
2025-06-17,4794,5305.530000000001
2025-06-18,5905,5130.03
2025-06-19,6011,5107.11
2025-06-20,5411,5132.31
2025-06-21,5495,5083.86
2025-06-22,5586,4906.62
2025-06-23,5192,4577.1
2025-06-24,5495,5014.14
2025-06-25,5280,4857.9
2025-06-26,5223,4509.4800000000005
2025-06-27,4200,4365.12
2025-06-28,4370,4448.04
2025-06-29,4865,4459.049999999999
2025-06-30,5346,4496.88
2025-07-01,5012,4215.3
2025-07-02,5801,4141.17
2025-07-03,6020,4351.0199999999995
2025-07-04,5202,4381.0199999999995
2025-07-05,4378,4239.33
2025-07-06,4557,4166.700000000001
2025-07-07,5217,4346.400000000001
2025-07-08,5056,4497.54
2025-07-09,5603,4502.97
2025-07-10,6167,4630.11
2025-07-11,8265,4970.9400000000005
2025-07-12,5410,5088.18
2025-07-13,5724,5208.69
2025-07-14,7056,5338.62
2025-07-15,7094,5276.37
2025-07-16,7168,5417.37
2025-07-17,6652,5628.72
2025-07-18,6646,5618.46
2025-07-19,5160,5917.41
2025-07-20,7113,5769.75
2025-07-21,7263,6006.660000000001
2025-07-22,6149,6120.54
2025-07-23,5659,6043.86
2025-07-24,4729,5515.2
2025-07-25,4670,5485.5
2025-07-26,4837,5594.55
2025-07-27,5023,5622.84
2025-07-28,5522,5817.4800000000005
2025-07-29,5915,5438.76
2025-07-30,4488,5343.2699999999995
2025-07-31,5162,5181.87
2025-08-01,5275,5000.43
2025-08-02,4764,4822.95
2025-08-03,4952,4795.74
2025-08-04,5102,5023.86
2025-08-05,4967,5363.28
2025-08-06,5049,5218.5599999999995
2025-08-07,5030,5242.14
2025-08-08,5751,5373.120000000001
2025-08-09,6499,5497.02
2025-08-10,6013,5632.44
2025-08-11,5771,5589.45
2025-08-12,6029,5382.599999999999
2025-08-13,6923,5654.97
2025-08-14,5970,5750.16
2025-08-15,5223,5247.12
2025-08-16,4644,5212.35
2025-08-17,6802,5290.86
2025-08-18,5362,5335.889999999999
2025-08-19,4831,5058.3
2025-08-20,4731,4837.29
2025-08-21,4927,5098.469999999999
2025-08-22,5708,4925.1900000000005
2025-08-23,5479,5385.45
2025-08-24,5199,5275.56
2025-08-25,5404,5200.62
2025-08-26,5185,4830.93
2025-08-27,6636,5020.83
2025-08-28,5473,5034.33
2025-08-29,4525,5228.339999999999
2025-08-30,4574,4973.25
2025-08-31,4958,4971.45
2025-09-01,5202,4915.47
2025-09-02,5560,4803.21
2025-09-03,4735,4953.599999999999
2025-09-04,4172,5051.64
2025-09-05,4513,4903.38
2025-09-06,4538,4974.42
2025-09-07,4524,4946.19
2025-09-08,4959,5006.3099999999995
2025-09-09,4767,5005.8
2025-09-10,4585,5053.8
2025-09-11,4947,5139.299999999999
2025-09-12,5256,5171.79
2025-09-13,5239,5175.72
2025-09-14,4782,5307.87
2025-09-15,5005,5080.47
2025-09-16,4334,4846.62
2025-09-17,4843,4887.36
2025-09-18,5703,4903.35
2025-09-19,5239,4944.78
2025-09-20,4676,4744.530000000001
2025-09-21,5745,4737.63
2025-09-22,6343,4665.360000000001
2025-09-23,5314,4313.82
2025-09-24,4518,4271.610000000001
2025-09-25,4479,4280.91
2025-09-26,4327,4055.2799999999997
2025-09-27,4098,4142.25
2025-09-28,5330,4122.18
2025-09-29,5823,4148.280000000001
2025-09-30,5802,4130.04
2025-10-01,13664,4103.82
2025-10-02,13865,4463.7300000000005
2025-10-03,7628,5120.85
2025-10-04,6691,5333.070000000001
2025-10-05,6824,5191.4400000000005
2025-10-06,7472,5168.22
2025-10-07,7262,5185.5
2025-10-08,5298,4646.22
2025-10-09,5039,4675.410000000001
2025-10-10,8122,4565.28
2025-10-11,6964,3571.2599999999998
2025-10-12,5774,3400.62
2025-10-13,5961,3858.8399999999997
2025-10-14,5475,4061.43
2025-10-15,5767,3994.5299999999997
2025-10-16,5385,3817.65
2025-10-17,5552,3713.04
2025-10-18,4885,3588.0299999999997
2025-10-19,5185,3644.97
2025-10-20,5011,3716.1
2025-10-21,5101,3710.7
2025-10-22,5192,3508.83
2025-10-23,5557,3390.6
2025-10-24,5626,3478.83
2025-10-25,6700,3494.34
2025-10-26,6394,3467.64
2025-10-27,6167,3801.0
2025-10-28,5869,3682.02
2025-10-29,5649,3625.41
